Participant card No: 4
Clear time: 2025-09-26 23:49:20
Record count 15
 Start - 2025-10-04 11:34:22
    34 - 2025-10-04 11:56:05
    31 - 2025-10-04 12:02:27
    40 - 2025-10-04 12:09:58
    43 - 2025-10-04 12:16:42
    61 - 2025-10-04 12:39:25
    62 - 2025-10-04 12:47:23
    51 - 2025-10-04 13:00:22
    32 - 2025-10-04 13:08:29
    60 - 2025-10-04 13:23:31
    63 - 2025-10-04 13:48:32
    42 - 2025-10-04 14:06:28
    50 - 2025-10-04 14:17:47
    54 - 2025-10-04 14:27:47
Finish - 2025-10-04 14:42:53
